epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4559.17,1.40435,2.80376,1.50589,0.41098,0.37994,0.32405,0.14715,1.80942,2.56335,1.81862,0.00023654,0.00023654,0.00023654
2,10358.6,1.31195,1.8492,1.45606,0.60702,0.42447,0.46946,0.19217,2.02222,2.264,1.94312,0.00045105,0.00045105,0.00045105
